"Store Name","Street Address","Borough","Zip 
Code","Year Awarded","Program 
Wave","Latitude","Longitude","Community Board","Council District","BIN","BBL","Census Tract (2020)","Neighborhood Tabulation Area (NTA) (2020)"
"760 Grand Concourse Food Corp","760 Grand Concourse","Bronx","10451","2019","7","40.823968","-73.9243","204","16","2,002,788","2,024,580,072","5902","BX0401"
"Court Side Deli II","845 Concourse West Village","Bronx","10451","2019","7",,,,,,,,
"URENA GROCERY","759 Gerard Avenue","Bronx","10451","2019","7","40.825155","-73.92633","204","16","2,002,971","2,024,820,030","6301","BX0401"
"Gerard Food Market","740 Gerard Avenue","Bronx","10451","2019","7","40.824719","-73.926561","204","16","2,002,897","2,024,730,043","6301","BX0401"
"M G DELI CORP","917 Sheridan Avenue","Bronx","10451","2019","7","40.827923","-73.92031","204","16","2,002,811","2,024,610,022","18301","BX0401"
"153 Deli Grocery","153 East 149th","Bronx","10451","2019","7",,,,,,,,
"D G deli","528 Morris Avenue","Bronx","10451","2019","7","40.817111","-73.922881","201","17","2,000,884","2,023,300,005","65","BX0102"
"Amor Deli Grocery","21 Convent Avenue","New York","10027","2019","7","40.813617","-73.953094","109","9","1,059,591","1,019,680,029","21303","MN0902"
"C TOWN","560 est 125th Street","New York","10027","2019","7",,,,,,,,
"Eleganza Gourmet Deli","1 Covent Avenue","New York","10027","2019","7",,,,,,,,
"FAMILY COMMUNITY DELI &","41 ST Nicholas Terr.","New York","10027","2019","7","40.813663","-73.951262","109","9","1,059,613","1,019,690,040","21303","MN0902"
"Food town/Fine Fare Supermarket","2463 Frederick Douglass Blvd","New York","10027","2019","7","40.81449","-73.948028","110","9","1,089,116","1,019,580,024","215","MN1002"
"Lenox deli gourmet corp.","370 Malcolm X Blvd","New York","10027","2019","7","40.810045","-73.943812","110","9","1,053,712","1,017,260,069","208","MN1002"
"Gourmet Revolution","2090 7th Avenue","New York","10027","2019","7","40.808639","-73.948582","110","9","1,058,640","1,019,300,030","222","MN1001"
"Jhajara Deli -Anan Gourmet Deli","2391 Frederick Douglass Blvd","New York","10027","2019","7","40.812323","-73.949609","110","9","1,059,398","1,019,550,010","215","MN1002"
"Manhattan Food Market","507 Manhattan Avenue","New York","10027","2019","7","40.80832","-73.954434","110","9","1,059,184","1,019,480,012","257","MN1001"
"MANHATTANVILLE DELI","1413 Amsterdam Avenue","New York","10027","2019","7","40.815476","-73.954726","109","7","1,059,621","1,019,690,081","21303","MN0902"
"Met Foodmarket","1316 Amsterdam Avenue","New York","10027","2019","7","40.812515","-73.95691","109","7","1,084,110","1,019,780,001","211","MN0901"
"Sarah Deli Grocery","201 West 131st Street","New York","10027","2019","7","40.812933","-73.945985","110","9","1,058,711","1,019,370,028","226","MN1002"
"Shop & Fair Supermarket","2108 Adam Clayton Powell Blvd","New York","10027","2019","7","40.809286","-73.948112","110","9","1,058,661","1,019,310,036","222","MN1001"
"St Nicholas Express Deli Inc","25 Saint Nicholas Ter # 1","New York","10027","2019","7","40.813136","-73.951642","109","9","1,059,596","1,019,680,039","21303","MN0902"
"Sweet corner grocery","550 West 126 Street","New York","10027","2019","7","40.815638","-73.957009","109","7","1,059,715","1,019,820,068","219","MN0902"
"THRIFTY DELI SPRMKT","3149 Broadway","New York","10027","2019","7","40.814248","-73.959354","109","7","1,059,852","1,019,930,081","211","MN0901"
"SIRAH 1720 LLC","535 MARCY AVE","Brooklyn","11206","2020","8","40.696961","-73.949512","303","36","3,338,591","3,017,390,001","257","BK0301"
"M AND D MINI MARKET","613 MARCY AVE","Brooklyn","11206","2020","8","40.693796","-73.948883","303","36","3,322,077","3,017,670,007","261","BK0301"
"FIRST STOP GROCERY INC","643 MARCY AVE","Brooklyn","11206","2020","8","40.692552","-73.948632","303","36","3,049,316","3,017,710,001","261","BK0301"
"BC GROCERY CORP","305 THROOP AVE","Brooklyn","11206","2020","8","40.69325","-73.942973","303","36","3,049,410","3,017,730,001","281","BK0302"
"TAJUKEN DELI CORP","114 MARCUS GARVEY BLVD","Brooklyn","11206","2020","8","40.694772","-73.940401","303","36","3,049,214","3,017,690,039","283","BK0302"
"AANDE DIRECT LLC","40 LEWIS AVE","Brooklyn","11206","2020","8","40.696631","-73.937792","303","36","3,042,883","3,015,850,035","283","BK0302"
"CENTRAL ORGANIC","67 CENTRAL AVE","Brooklyn","11206","2020","8","40.701096","-73.930445","304","34","3,072,058","3,031,640,008","425","BK0401"
"ALBANITA DELI GROCERY CORP","586 BUSHWICK AVE","Brooklyn","11206","2020","8","40.698801","-73.934973","304","34","3,071,889","3,031,500,030","389","BK0401"
"194 THROOP FOOD CORP","777 PARK AVE","Brooklyn","11206","2020","8","40.698191","-73.944311","303","36","3,335,580","3,017,320,026","257","BK0301"
"BROADWAY ORGANIC DELI INC","799 BROADWAY","Brooklyn","11206","2020","8","40.699745","-73.940176","304","34","3,071,692","3,031,320,007","389","BK0401"
"STAY FRESH GRILL II CORP","889 BROADWAY","Brooklyn","11206","2020","8","40.698031","-73.937095","304","34","3,071,785","3,031,360,005","389","BK0401"
"L STOP GOURMET DELI CORP","223 MONTROSE AVE","Brooklyn","11206","2020","8","40.707628","-73.940213","301","34","3,071,163","3,030,540,026","49302","BK0104"
"7 SEAS GROCERY CORP","235 BUSHWICK AVE","Brooklyn","11206","2020","8","40.707908","-73.93987","301","34","3,071,186","3,030,550,023","49302","BK0104"
"MLD 91 FOOD CORP","91 HUMBOLDT ST","Brooklyn","11206","2020","8","40.704472","-73.941009","301","34","3,325,958","3,030,970,018","491","BK0104"
"JC DELI AND GRILL CORPORATION","442 LORIMER ST","Brooklyn","11206","2020","8","40.710105","-73.948708","301","34","3,338,218","3,027,920,002","503","BK0104"
"ROCKY DELI GROCERY INC","590 BROADWAY","Brooklyn","11206","2020","8","40.703761","-73.947242","301","33","3,061,336","3,022,470,013","509","BK0103"
"HERMANOS ACOSTA FOOD CORP","166 MANHATTAN AVE","Brooklyn","11206","2020","8","40.708517","-73.945096","301","34","3,327,922","3,030,430,008","505","BK0104"
"131 MANHATTAN DELI GROCERY CORP","134 MANHATTAN AVE","Brooklyn","11206","2020","8","40.707282","-73.944905","301","34","3,071,105","3,030,520,001","505","BK0104"
"GRAHAM STOP ONE DELI INC","146 GRAHAM AVE","Brooklyn","11206","2020","8","40.70643","-73.943045","301","34","3,338,421","3,030,710,007","49302","BK0104"
"MR NICE GUY DELI GRILL","92 MANHATTAN AVE","Brooklyn","11206","2020","8","40.705465","-73.944629","301","34","3,071,334","3,030,790,005","505","BK0104"
"FAMOUS DELI AND GRILL INC","116 GRAHAM AVE","Brooklyn","11206","2020","8","40.705288","-73.942858","301","34","3,071,349","3,030,800,001","49302","BK0104"
"BOGOPA MANHATTAN INC","21 MANHATTAN AVE","Brooklyn","11206","2020","8","40.702939","-73.944235","301","34","3,000,000","3,031,040,001","491","BK0104"
"LEE HEYWARD GROCERY INC","198 LEE AVE","Brooklyn","11206","2020","8","40.701855","-73.955636","301","33","3,061,119","3,022,310,035","53101","BK0103"
"574 MARCY DELI CORP","574 MARCY AVE","Brooklyn","11206","2020","8","40.695056","-73.949153","303","36","3,338,620","3,017,540,044","253","BK0301"
"164 TOMPKIN DELI","164 TOMPKINS ST","Brooklyn","11206","2020","8",,,,,,,,
"BROOKLYNS FINEST DELI CORP","131 TOMPKINS AVE","Brooklyn","11206","2020","8","40.695076","-73.946235","303","36","3,048,663","3,017,560,001","25901","BK0301"
"J A TOMPKINS FOOD CORP","920 MYRTLE AVE","Brooklyn","11206","2020","8","40.695814","-73.945344","303","36","3,048,667","3,017,560,023","25901","BK0301"
"GAWAD DELI GROCERY CORP","207 HART ST","Brooklyn","11206","2020","8","40.693782","-73.943525","303","36","3,049,177","3,017,680,047","261","BK0301"
"JRM DELI GROCERY CORP","98 MARCUS GARVEY BLVD","Brooklyn","11206","2020","8","40.695505","-73.940544","303","36","3,048,912","3,017,610,035","283","BK0302"
"AFS MARKET INC","1102 MYRTLE AVE","Brooklyn","11206","2020","8","40.696817","-73.936605","303","36","3,000,000","3,015,867,501","287","BK0302"
"MONEGRO HECTOR E","105 CENTRAL AVE","Brooklyn","11206","2020","8","40.700362","-73.929144","304","34","3,072,263","3,031,730,001","425","BK0401"
"GREEN CORNER OF NY LLC","801 FLUSHING AVE","Brooklyn","11206","2020","8","40.701019","-73.940705","301","34","3,071,664","3,031,270,027","491","BK0104"
"726 MEAT MARKET INC","726 BROADWAY","Brooklyn","11206","2020","8","40.701171","-73.942667","301","33","3,061,510","3,022,760,022","507","BK0103"
"711 BROOKLYN DELI CORP","711 FLUSHING AVE","Brooklyn","11206","2020","8","40.700458","-73.944197","301","33","3,061,500","3,022,767,502","507","BK0103"
"BNS HOT DELI CORP","773 PARK AVE","Brooklyn","11206","2020","8","40.698174","-73.944451","303","36","3,048,408","3,017,320,028","257","BK0301"
"EAGLE DELI AND GRILL INC","317 BUSHWICK AVE","Brooklyn","11206","2020","8","40.705468","-73.939457","301","34","3,071,364","3,030,820,001","485","BK0104"
"BUSHWICK DELI GROCERY CORP","285 BUSHWICK AVE","Brooklyn","11206","2020","8","40.706409","-73.939619","301","34","3,327,968","3,030,730,017","49302","BK0104"
"THE LUNCH BOX DELI CORP","204 BUSHWICK AVE","Brooklyn","11206","2020","8","40.708767","-73.940031","301","34","3,071,014","3,030,450,017","49302","BK0104"
"PAULA MARKET AND DELI CORP","276 HUMBOLDT ST","Brooklyn","11206","2020","8","40.711173","-73.942114","301","34","3,069,626","3,027,900,001","495","BK0104"
"MAJOR DELI AND GROCERY CORP","203 MAUJER ST","Brooklyn","11206","2020","8","40.711063","-73.942161","301","34","3,323,054","3,027,890,026","495","BK0104"
"SEM SEM DELI CORP","75 HUMBOLDT ST","Brooklyn","11206","2020","8","40.704022","-73.940926","301","34","3,071,460","3,030,970,024","491","BK0104"
"LORIMER DELI FOOD CORP","400 LORIMER ST","Brooklyn","11206","2020","8","40.708821","-73.948497","301","34","3,070,864","3,030,320,005","511","BK0104"
"ORANGE TREE ORGANIC MARKET CORP","121 GRAHAM AVE","Brooklyn","11206","2020","8","40.705994","-73.942995","301","34","3,071,280","3,030,700,026","505","BK0104"
"BONILLA CARLOS M","62 MANHATTAN AVE","Brooklyn","11206","2020","8","40.704416","-73.944457","301","34","3,071,408","3,030,880,035","491","BK0104"
"EXPRESS GROCERY AND DELI CORPORATIO","25 BEAVER ST","Brooklyn","11206","2020","8","40.700609","-73.938376","304","34","3,071,711","3,031,330,024","389","BK0401"
"128 T EDGECOMBE DELI CORP","128 EDGECOMBE AVE","New York","10030","2020","8","40.820961","-73.945071","110","9","1,060,736","1,020,430,001","259","MN1002"
"135 FUTURE LANDM CORP","24 WEST 135TH ST","New York","10037","2020","8","40.813209","-73.938756","110","9","1,053,894","1,017,300,052","212","MN1002"
"135TH STREET DELI AND GROCERY CORP","266 WEST 135TH ST","New York","10030","2020","8","40.816213","-73.945877","110","9","1,058,855","1,019,400,060","228","MN1002"
"141 FINEST DELI CORP","332 WEST 141ST ST","New York","10030","2020","8","40.820958","-73.945375","110","9","1,060,914","1,020,480,041","22102","MN1002"
"2278 DELI AND GROCERY INC","2278 7TH AVE","New York","10030","2020","8","40.814546","-73.944268","110","9","1,058,817","1,019,390,036","226","MN1002"
"477 FOOD CORP","477 LENOX AVE","New York","10037","2020","8","40.813274","-73.94148","110","9","1,058,228","1,019,180,036","226","MN1002"
"7TH AVE DELI GROCERY CORP","2417 ADAM CLAYTON POWELL JR BLVD","New York","10030","2020","8","40.819208","-73.940835","110","9","1,060,083","1,020,100,001","230","MN1002"
"ADAM 1 FOOD CENTER INC","2657 FREDERICK DOUGLAS BLVD","New York","10030","2020","8","40.820741","-73.943464","110","9","1,060,752","1,020,430,018","259","MN1002"
"BEST OF HARLEM CORP","585 LENOX AVE","New York","10037","2020","8","40.817351","-73.938503","110","9","1,060,066","1,020,090,029","230","MN1002"
"BIG APPLE GRILL DELI INC","521 LENOX AVE","New York","10037","2020","8","40.814873","-73.940311","110","9","1,058,330","1,019,210,029","228","MN1002"
"EL PATIO DELI CORP","2082 MADISON AVE","New York","10037","2020","8","40.809627","-73.93782","111","9","1,054,307","1,017,560,014","206","MN1102"
"ESAYI CORP","2461 ADAM CLAYTON POWELL JR BLVD","New York","10030","2020","8","40.820418","-73.939952","110","9","1,060,128","1,020,120,001","232","MN1002"
"FUNFAIR DELI CORP","537 LENOX AVE","New York","10037","2020","8","40.815499","-73.939852","110","9","1,060,002","1,020,060,029","228","MN1002"
"GOLDEN DELI GROCERY CORP","2210 5TH AVE","New York","10037","2020","8","40.812473","-73.937835","110","9","1,053,891","1,017,300,040","212","MN1002"
"HARLEM EMPIRE DELI INC","251 WEST 135TH ST","New York","10030","2020","8","40.816238","-73.945895","110","9","1,058,868","1,019,410,001","228","MN1002"
"JANET FOOD CORP","2630 FREDERICK DOUGLASS BLVD","New York","10030","2020","8","40.819764","-73.944155","110","9","1,089,378","1,020,267,501","230","MN1002"
"K AND S DELI CORP","429 LENOX AVE","New York","10037","2020","8","40.811888","-73.942496","110","9","1,058,104","1,019,160,031","226","MN1002"
"LENOX 551 DELI GROCERY CORP","551 LENOX AVE","New York","10037","2020","8","40.815935","-73.939534","110","9","1,060,007","1,020,060,036","228","MN1002"
"LENOX AND 132ND FOOD CORP","448 LENOX AVE","New York","10037","2020","8","40.812396","-73.942095","110","9","1,053,885","1,017,300,001","212","MN1002"
"LINCOLN DELI GROCERY INC 1","2095 MADISON AVE","New York","10037","2020","8","40.809959","-73.937238","111","9","1,054,327","1,017,560,049","206","MN1102"
"MANDS FOOD CORP","2482 7TH AVE","New York","10030","2020","8","40.821167","-73.939431","110","9","1,060,456","1,020,300,029","232","MN1002"
"MO DELI AND GRILL CORP","665 LENOX AVE","New York","10037","2020","8","40.81925","-73.937114","110","9","1,060,141","1,020,120,029","232","MN1002"
"MR 2497 FOOD CORP","2497 7TH AVE","New York","10030","2020","8","40.821482","-73.939178","110","9","1,060,175","1,020,130,061","232","MN1002"
"NUNEZ DOMINGO","2591 8TH AVE","New York","10030","2020","8","40.818518","-73.945088","110","9","1,060,668","1,020,410,047","22102","MN1002"
"RIMAR GOURMET DELI INC","2611 FREDERICK DOUGLAS BLVD","New York","10030","2020","8","40.819097","-73.944665","110","9","1,085,457","1,020,427,502","22102","MN1002"
"ROSANNA FOOD CORP","592 LENOX AVE","New York","10037","2020","8","40.817088","-73.938669","110","9","1,053,937","1,017,370,011","214","MN1002"
"WINSOME DELI INC","482 LENOX AVE","New York","10037","2020","8","40.813266","-73.941458","110","9","1,053,897","1,017,300,068","212","MN1002"
"1029 FOOD PLAZA INC","1203 Sutter Avenue","Bronx","10453","2020","8",,,,,,,,
"109 AJ DELI GROCERY CORP","1211 Liberty Avenue","Bronx","10453","2020","8",,,,,,,,
"124-176 MORRIS GROCERY CORP","241 Ridgewood Avenue","Bronx","10453","2020","8",,,,,,,,
"19 W BRONX DELI GROCERY CORP","224 Lincoln Avenue","Bronx","10453","2020","8",,,,,,,,
"48 BURNSIDE FOOD CORP","290 Arlington Avenue","Bronx","10453","2020","8",,,,,,,,
"58 BURNSIDE FOOD CORP","690 Linwood St.","Bronx","10453","2020","8",,,,,,,,
"60 WEST 183RD ST FOOD CORP","1075 Liberty Avenue","Bronx","10453","2020","8",,,,,,,,
"65 BURNSIDE MEAT MARKET CORP","3336 Fulton St","Bronx","10453","2020","8",,,,,,,,
"ADRIAN GROCERY STORE INC","1055 Blake Avenue","Bronx","10453","2020","8",,,,,,,,
"ALEX FOOD II CORP","1615 UNIVERSITY AVE","Bronx","10453","2020","8","40.847317","-73.919933","205","14","2,008,983","2,028,780,015","21501","BX0501"
"ALTAGRACIA GROCERY CORP","10 EAST 176TH ST","Bronx","10453","2020","8","40.848576","-73.911408","205","14","2,008,209","2,028,500,009","22701","BX0502"
"AMOR SUPERMARKET CORP","35 WEST 183RD ST","Bronx","10453","2020","8","40.85885","-73.905292","207","14","2,014,231","2,031,970,016","253","BX0701"
"BBC DELI GROCERY CORP","51 EAST TREMONT AVE","Bronx","10453","2020","8","40.851275","-73.908322","205","14","2,007,940","2,028,290,026","241","BX0502"
"BONAO MEATS AND PRODUCE II INC","82 EAST BURNSIDE AVE","Bronx","10453","2020","8","40.853268","-73.905933","205","14","2,007,948","2,028,290,045","241","BX0502"
"BURNSIDE AVE FOOD CENTER INC","111 EAST BURNSIDE AVE","Bronx","10453","2020","8","40.853059","-73.905344","205","14","2,013,846","2,031,690,059","241","BX0502"
"CRUZ MEAT CORP","2262 JEROME AVE","Bronx","10453","2020","8","40.85815","-73.904025","205","14","2,014,063","2,031,860,055","239","BX0503"
"GANDA DELI GROCERY CORP","129 WEST TREMONT AVE","Bronx","10453","2020","8","40.850025","-73.913756","205","14","2,008,582","2,028,690,001","243","BX0501"
"GAVA FOOD CORP","127 WEST BURNSIDE AVE","Bronx","10453","2020","8","40.853829","-73.913899","205","14","2,014,850","2,032,210,005","24502","BX0501"
"ILIANA DELI GROCERY LLC","25 EAST 176TH ST","Bronx","10453","2020","8","40.848496","-73.910921","205","14","2,008,228","2,028,510,036","23301","BX0502"
"JD DELI AND PIZZA INC","2207 JEROME AVE","Bronx","10453","2020","8","40.857217","-73.904601","205","14","2,014,209","2,031,960,038","239","BX0503"
"JESSICA SUPERMARKET CORP","1645 GRAND AVE","Bronx","10453","2020","8","40.846985","-73.91513","205","14","2,008,449","2,028,660,015","21502","BX0501"
"JULIAN GROCERY CORP","143 WEST BURNSIDE AVE","Bronx","10453","2020","8","40.853898","-73.91434","205","14","2,014,851","2,032,210,007","24502","BX0501"
"LA GRAN FAMOSA FOOD MARKET CORP","1704 GRAND AVE","Bronx","10453","2020","8","40.848507","-73.914025","205","14","2,008,497","2,028,670,030","217","BX0501"
"LA PODEROSA GROCERY STORE CORP","27 EAST 175TH ST","Bronx","10453","2020","8","40.847498","-73.911887","205","14","2,008,212","2,028,500,031","22701","BX0502"
"LOS COMPADRES - 1 GROCERY INC","21 WEST 176TH ST","Bronx","10453","2020","8","40.848468","-73.913122","205","14","2,008,520","2,028,670,155","217","BX0501"
"LOS PINOS FOOD CORP","148 EAST BURNSIDE AVE","Bronx","10453","2020","8","40.852452","-73.904629","205","14","2,101,575","2,028,080,082","23501","BX0502"
"LUCKY 3 CONVENIENCE AND DELI CORP","16 WEST 177TH ST","Bronx","10453","2020","8","40.850097","-73.911399","205","14","2,008,373","2,028,610,140","217","BX0501"
"MORRIS BEST DELI AND GRILL INC","16 EAST 183RD ST","Bronx","10453","2020","8","40.858583","-73.903355","205","14","2,014,065","2,031,860,063","239","BX0503"
"MY FAMILY DELI GROCERY CORP","54 EAST 181ST ST","Bronx","10453","2020","8","40.855271","-73.904564","205","14","2,013,952","2,031,780,031","241","BX0502"
"PALMAR MINI MARKET INC","2160 WALTON AVE","Bronx","10453","2020","8","40.855644","-73.904491","205","14","2,013,969","2,031,800,009","239","BX0503"
"PAN DELI GROCERY CORP","1893 ANDREWS AVE","Bronx","10453","2020","8","40.85362","-73.913889","205","14","2,009,122","2,028,790,204","24501","BX0501"
"PEGUERO GRAND GROCERY CORP","2241 GRAND AVE","Bronx","10453","2020","8","40.858176","-73.90623","205","14","2,014,511","2,032,080,015","251","BX0501"
"PRIMAVERA DELI GROCERY CORP","79 EAST BURNSIDE AVE","Bronx","10453","2020","8","40.853301","-73.905973","205","14","2,013,956","2,031,780,060","241","BX0502"
"PUNAL GROCERY CORP","218 WEST TREMONT AVE","Bronx","10453","2020","8","40.85208","-73.91718","205","14","2,008,965","2,028,770,521","20502","BX0501"
"RAYKELL FOOD CORP","78 WEST 183RD ST","Bronx","10453","2020","8","40.859302","-73.906622","205","14","2,014,528","2,032,080,036","251","BX0501"
"SABOR CRIOLLO GROCERY CORP","1841 GRAND CONCOURSE","Bronx","10453","2020","8","40.848022","-73.907336","205","14","2,007,620","2,028,050,023","23301","BX0502"
"SAZON DELI GROCERY CORP","131 EAST 183RD ST","Bronx","10453","2020","8","40.857727","-73.900811","205","14","2,013,773","2,031,640,001","23703","BX0503"
"SHOP LAND DISCOUNT CORP","25 WEST TREMONT AVE","Bronx","10453","2020","8","40.851922","-73.910883","205","14","2,008,621","2,028,690,167","243","BX0501"
"SWEET CORNER FOOD CENTER CORP","1971 GRAND AVE","Bronx","10453","2020","8","40.852161","-73.910789","205","14","2,008,620","2,028,690,163","243","BX0501"
"TEAMS MARKET INC","1791 WALTON AVE","Bronx","10453","2020","8","40.848015","-73.909927","205","14","2,114,111","2,028,500,052","22701","BX0502"
"THREE TIMES C FOOD CORP","1707 UNIVERSITY AVE","Bronx","10453","2020","8","40.849338","-73.917089","205","14","2,088,267","2,028,780,222","21501","BX0501"
"TRES K DELI GRCY FRUITANDMEAT INC","125 WEST TREMONT AVE","Bronx","10453","2020","8","40.850041","-73.913619","205","14","2,008,601","2,028,690,058","243","BX0501"
"TU GENTE DELI AND GROCERY CORP","1801 UNIVERSITY AVE","Bronx","10453","2020","8","40.850561","-73.91536","205","14","2,009,089","2,028,790,100","24501","BX0501"
"VILLA TRINA FOOD CORP","70 EAST 183RD ST","Bronx","10453","2020","8","40.858247","-73.902387","205","14","2,013,992","2,031,820,031","239","BX0503"
"48 Burnside Food Corp (Food Dynasty Supermarket)","40 W Burnside Avenue","Bronx","10453","2022","9","40.853839","-73.909077","205","14","2,008,631","2,028,700,026","243","BX0501"
"58 Burnside Food Corp","58 W Burnside Avenue","Bronx","10453","2022","9","40.854163","-73.909767","205","14","2,008,608","2,028,690,127","243","BX0501"
"151 E Tremont Food Corp (Compare Supermarket)","151 E Tremont Avenue","Bronx","10453","2022","9","40.8502","-73.906783","205","14","2,007,681","2,028,080,004","23501","BX0502"
"183 Food Market Corp (Food Universe Supermarket)","60 W 183rd Street","Bronx","10453","2022","9","40.85917","-73.906246","205","14","2,014,529","2,032,080,039","251","BX0501"
"1029 Food Plaza Inc","122 E 181 Street","Bronx","10453","2022","9","40.854853","-73.903444","205","14","2,013,841","2,031,690,034","241","BX0502"
"A B International Market Inc (African)","2235 Jerome Avenue","Bronx","10453","2022","9","40.857552","-73.904398","205","14","2,014,208","2,031,960,036","239","BX0503"
"AD Food Corp (Antillana Supermarket)","2285 Grand Concourse","Bronx","10453","2022","9","40.857079","-73.900173","205","14","2,013,769","2,031,630,026","23704","BX0503"
"Amor Supermarket Corp","35 W 183rd Street","Bronx","10453","2022","9","40.85885","-73.905292","207","14","2,014,231","2,031,970,016","253","BX0701"
"Ashley & Wilbis","2160 Walton Avenue","Bronx","10453","2022","9","40.855644","-73.904491","205","14","2,013,969","2,031,800,009","239","BX0503"
"BBC Deli Grocery Corp","51 E Tremont Avenue","Bronx","10453","2022","9","40.851275","-73.908322","205","14","2,007,940","2,028,290,026","241","BX0502"
"Bonoful Grocery Inc","7 E 182nd Street","Bronx","10453","2022","9","40.85726","-73.904293","205","14","2,014,059","2,031,860,041","239","BX0503"
"Charisse And Christine Enterprise Ltd (C-Town)","1750 University Avenue","Bronx","10453","2022","9","40.849322","-73.917079","205","14","2,008,836","2,028,760,118","21502","BX0501"
"Cruz Meat Corp (Pioneer Supermarket)","2262 Jerome Avenue","Bronx","10453","2022","9","40.85815","-73.904025","205","14","2,014,063","2,031,860,055","239","BX0503"
"Fama Food Corp (C-Town)","2276 Creston Avenue","Bronx","10453","2022","9","40.857302","-73.901203","205","14","2,088,406","2,031,630,017","23704","BX0503"
"Franco Fruit And Vegetable","121 E Burnside Avenue","Bronx","10453","2022","9","40.853012","-73.905221","205","14","2,013,846","2,031,690,059","241","BX0502"
"Gava Food Corp (Bravo Supermarket)","127 W Burnside Avenue","Bronx","10453","2022","9","40.853829","-73.913899","205","14","2,014,850","2,032,210,005","24502","BX0501"
"La Vega Food (Villa Trina Food)","70 East 183rd Street","Bronx","10453","2022","9","40.858247","-73.902387","205","14","2,013,992","2,031,820,031","239","BX0503"
"Los Castlillos Mini Market (Supermarket)","1601 University Avenue","Bronx","10453","2022","9","40.846977","-73.920465","205","14","2,008,980","2,028,780,001","21501","BX0501"
"Los Pinos Food Corp (Food Universe Supermarket)","148 E Burnside Avenue","Bronx","10453","2022","9","40.852452","-73.904629","205","14","2,101,575","2,028,080,082","23501","BX0502"
"Peguero Grand Grocery Corp","2241 Grand Avenue","Bronx","10453","2022","9","40.858176","-73.90623","205","14","2,014,511","2,032,080,015","251","BX0501"
"Tres K Deli","125 W Tremont Avenue","Bronx","10453","2022","9","40.850041","-73.913619","205","14","2,008,601","2,028,690,058","243","BX0501"
"El Patio Deli Corp.","2082 Madison Avenue","New York","10037","2022","9","40.809627","-73.93782","111","9","1,054,307","1,017,560,014","206","MN1102"
"Lenox & 132nd Food Corp.","424 West 135th Street","New York","10037","2022","9","40.818092","-73.950161","109","9","1,084,073","1,019,570,001","21703","MN0902"
"Fine Fare Supermarket","48 Lenox Avenue","New York","10037","2022","9","40.799552","-73.95145","110","9",,,"186","MN1001"
"Golden Deli Grocery Corp.","2210 5th Avenue","New York","10037","2022","9","40.812473","-73.937835","110","9","1,053,891","1,017,300,040","212","MN1002"
"AJ Food Center","1 West 131th Street","New York","10037","2022","9","40.810416","-73.939961","110","9","1,053,848","1,017,290,033","208","MN1002"
"Exquisite Deli & Grill","521 Malcom X Blvd","New York","10037","2022","9",,,,,,,,
"FunFair Deli Corp.","537 Lenox Avenue","New York","10037","2022","9","40.815499","-73.939852","110","9","1,060,002","1,020,060,029","228","MN1002"
"Key Food Supermarket","592 Lenox Avenue","New York","10037","2022","9","40.817088","-73.938669","110","9","1,053,937","1,017,370,011","214","MN1002"
"Domingo Grocery","2591 8th Avenue","New York","10030","2022","9","40.818518","-73.945088","110","9","1,060,668","1,020,410,047","22102","MN1002"
"Farida Halal African Market","2529 Frederick Douglas Blvd","New York","10030","2022","9","40.816674","-73.946433","110","9","1,059,463","1,019,600,013","22102","MN1002"
"135th St. Deli & Grocery","266 West 135th Street","New York","10030","2022","9","40.816213","-73.945877","110","9","1,058,855","1,019,400,060","228","MN1002"
"3 JS Deli Grocery INC.","1098 Anderson Avenue","Bronx","10452","2023","10","40.834714","-73.9253","204","16","2,003,059","2,025,050,017","193","BX0402"
"53 JM Deli Grocery Corp","53 West 167th Street","Bronx","10452","2023","10","40.836139","-73.924626","204","16","2,003,156","2,025,100,001","199","BX0402"
"152 VM Grocery Corp","152 East 171 Street","Bronx","10452","2023","10","40.84021","-73.91417","204","16","2,007,998","2,028,330,014","223","BX0403"
"881 Stadium Food Corp","881 Gerard Avenue","Bronx","10452","2023","10","40.827924","-73.924704","204","16","2,002,990","2,024,840,033","195","BX0401"
"1289 JC Deli Grocery Corp","1289 Walton Avenue","Bronx","10452","2023","10","40.837053","-73.917943","204","16","2,002,966","2,024,810,023","22101","BX0403"
"1296 Rivera Grocery Inc","1296 Walton Avenue","Bronx","10452","2023","10","40.83741","-73.917636","204","16","2,008,034","2,028,390,039","22102","BX0403"
"1434 Food CO LLC","1434 Jerome Avenue","Bronx","10452","2023","10","40.840986","-73.917132","204","16","2,008,093","2,028,430,012","223","BX0403"
"1538 Deli Grocery Corp","1538 University Avenue","Bronx","10452","2023","10","40.845806","-73.921991","205","14","2,008,785","2,028,750,045","21301","BX0501"
"1605 Grocery and Deli Market Corp","1605 Inwood Avenue","Bronx","10452","2023","10","40.845574","-73.915309","205","14","2,008,427","2,028,650,110","217","BX0501"
"Alra Corp","1384 Nelson Avenue","Bronx","10452","2023","10","40.841588","-73.922593","204","16","2,098,366","2,025,200,032","211","BX0402"
"A&R Grocery  Deli Corp","57 East 168th Street","Bronx","10452","2023","10","40.836717","-73.919216","204","16","2,002,962","2,024,810,001","22101","BX0403"
"Barbara Deli Food Corp","1027 Walton Avenue","Bronx","10452","2023","10","40.830735","-73.922027","204","16","2,002,939","2,024,770,021","195","BX0401"
